名称,工艺功能,位置,电源功能,设备编码
智能光电感烟探测器,=TA001.TB01.FA01.BF01.US03.BQ01,++BF01.US03.,,MDS0120
管形母线桥架2配件,=TA001.EY01.TY01.UF.UN07,,,
高天棚灯具 - 吊杆安装: BMX1-N2,=TA001.EY01.TE04.BF02.EA20,++BF02.US01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.5.N2.,HCL0101
控制室照明2,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N2,
备用,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.4.N12,
辅助系统,=TA001.EY01.TY01,,,
监控器,=TA001.TB01.VS01.AF05,++BF01.US09.,,
弱电桥架2,=TA001.EY01.TY01.QJ2,,,
光电感烟探测器: 点型,=TA001.TB01.FA01.FRSN.BQ11,++BF01.US01.,,ISD0109
带云台的摄像机: 标准,=TA001.TB01.VS01.SEVI012,,,CCTV0301
安全照明灯: MX1-N3,=TA001.EY01.TE04.BF01.US04.EA01,++BF01.US04.,,SSL0101
门厅火灾报警系统,=TA001.TB01.FA01.BF01.US01,,,
备用,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N12,
变压器室2走道照明系统,=TA001.EY01.TE04.BF01.US11,,,
智能感温探测器,=TA001.TB01.FA01.BF01.US07.BT01,++BF01.US07.,,ISD0105
照明灯具: SMX1-N6,=TA001.EY01.TE04.BF01.US09.EA04,++BF01.US09.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N6.BG04.,SSL0308
带云台的摄像机: 标准,=TA001.TB01.VS01.SEVI011,,,CCTV0302
监控器,=TA001.TB01.VS01.AF02,++BF01.US06.,,
起重机配电箱 P3,=TA001.EY01.TE03.,++BF02.,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.3.,GSB0101
弱电桥架3配件,=TA001.EY01.TY01.RF.UN05,,,
壁灯 - 托架: BMX1-N3,=TA001.EY01.TE04.BF02.EA18,++BF02.US01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.5.N3.,AGL0120
壁灯 - 托架: BMX1-N3,=TA001.EY01.TE04.BF02.EA15,++BF02.US01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.5.N3.,AGL0117
0.4KV馈线柜,=TA001.EY01.TE02.,++BF01.US09.,===DY2.AH12.H02.ZB2.D1DP12.3.,LDC0307
XBDZ-3.6（风机）: K4-5,=TA001.TL01.BF01.GQ05,++BF01.US09.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.10.F5.SF01.,AF0105
浮球液位开关3,=TA001.BJ01.TS01.BL11,++BF02.,,
水泵,=TA001.BJ01.PP01,,,
梯形电缆桥架配件,=TA001.EY01.TY01.EF.UN02,,,
照明灯具: SMX1-N7,=TA001.EY01.TE04.BF01.US09.EA09,++BF01.US09.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N7.BG01.,SSL0408
移动加日光感应探头,=TA001.EY01.TE04.,++BF01.US06.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N4.BG02,MDS0114
语音+数据点3,=TA001.TB01.TN01.BF02.TD03,++BF02.,,
移动加日光感应探头,=TA001.EY01.TE04.,++BF01.US02.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N1.BG01,MDS0119
成品拖把池,=TA001.ST01.TT01.TB01,++BF01.US04.,,
动力桥架配件,=TA001.EY01.TY01.PF.QJ1,,,
嵌入式内场平板灯,=TA001.EY01.TE04.BF01.US05.EA05,++BF01.US05.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N1.BG01.,FPL0107
单相二眼三眼组合暗插座,=TA001.EY01.TE03.,++BF01.US05.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.3.N2.XD01,PS0106
2#水泵按钮箱GK2,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP5O.1.1,
壁灯 - 托架: BMX2-N1,=TA001.EY01.TE04.BF02.EA04,++BF02.US02.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.6.N1.,AGL0103
W通用管件,=TA001.ST01.TT01.UN.UN06,,,
管理房风机控制箱 K4,=TA001.EY01.TE03.,++BF01.US05.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.10.,FCB0201
PLC柜 K3,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.5.6,
泵站3~5轴双电源切换照明配电箱（备） BMX1,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.9,
超声波液位计LT3,=TA001.BJ01.TS01.BL03,++BF02.US02.,,ULG0103
智能信号控制模块,=TA001.TB01.FA01.BF01.US05.ZK1,++BF01.US05.,,
照明灯具: SMX1-N1,=TA001.EY01.TE04.BF01.US05.EA04,++BF01.US05.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N1.BG01.,FPL0106
柜体背面安装板,,,,
室内半球,=TA001.TB01.VS01.AF08,++BF01.US06.,,CCTV0201
1#泵站风机 0.75KW轴流风机,=TA001.TL01.BF02.GQ01,++BF02.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.8.F1.,AF0201
低水箱坐便器,=TA001.ST01.TT01.WC01,++BF01.US04.,,
变压器室1走道照明系统,=TA001.EY01.TE04.BF01.US08,,,
3#雨水泵按钮箱 GK3,=TA001.EY01.TE03.,++BF02.,===DY1.AH1.H01.ZB1.C1DP1.3.DP6O.1.1.,WPB0103
10KV变压器出线柜 备用,=TA001.EY01.TE01.,++BF01.US06.,===DY2.AH12.,HSC0103
总线式消防电话分机插孔,=TA001.TB01.TN01.BF01.US09.XG01,++BF01.US09.,,
备用,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N10,
语音+数据点,=TA001.TB01.TN01.BF01.US06.TD02,++BF01.US06.,,
单相二眼三眼组合暗插座,=TA001.EY01.TE03.,++BF01.US03.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N6.XD04,PS0104
3#出水电动闸门 ZM7,=TA001.BJ01.OU01.FQ07,++BF02.,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.2.5.,GT0207
壁灯 - 托架: BMX1-N3,=TA001.EY01.TE04.BF02.EA17,++BF02.US01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.5.N3.,AGL0119
壁灯 - 托架: BMX1-N1,=TA001.EY01.TE04.BF02.EA13,++BF02.US01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.5.N1.,AGL0115
休息室2电话、网络系统,=TA001.TB01.TN01.BF01.US03,,,
壁灯: BMX1-N4,=TA001.EY01.TE04.BF02.EA25,++BF02.US01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.5.N4.,WL0103
照明灯具: SMX1-N7,=TA001.EY01.TE04.BF01.US09.EA10,++BF01.US09.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N7.BG01.,SSL0409
泵房风机控制箱 K5,=TA001.EY01.TE03.,++BF02.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.8.,FCB0101
室外照明4,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.7.N4,
照明灯具: SMX1-N4,=TA001.EY01.TE04.BF01.US06.EA09,++BF01.US06.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N4.BG02.,SSL0304
视频通信柜: 视频通信柜,=TA001.EY01.TE03.,++BF01.US05.,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.5.5.,VDO0101
光电感烟探测器: 点型,=TA001.TB01.FA01.FRSN.BQ05,,,ISD0102
水泵软启柜 RQ3,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP6O.1,
火灾光报警器: 标准,=TA001.TB01.FA01.ALRM.SF13,,,AVA0106
0.4KV馈线柜,=TA001.EY01.TE02.,++BF01.US09.,===DY1.AH1.H01.ZB1.C1DP1.3.,LDC0304
备用,,,===DY2.AH12.H02.ZB2.D1DP12.1,
管理房双电源切换照明配电箱 SMX1,=TA001.EY01.TE03.,++BF01.US05.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.,SDB0301
出水闸门螺杆启闭机4,=TA001.BJ01.OU01.QB04,++BF02.,,
备用,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.7.N7,
2#管理房风机,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.10.F2,
1#进水电动闸门 ZM1,=TA001.BJ01.IN01.FQ01,++BF02.,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.1.1.,GT0101
1#变压器Z柜B1，输出0.4KV C1,=TA001.EY01.TE03.,++BF01.US07.,===DY1.AH1.H01.,TR0101
3#水泵按钮箱GK3,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP6O.1.1,
水泵试验回水管闸门螺杆启闭机,=TA001.BJ01.OU01.QB05,++BF02.,,
管井2,,++BG01.GJ02,,GJ02
庭院灯: WMX-N3,=TA001.EY01.TE04.BG01.EA05,++BG01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.7.N3.,GL0109
10KV变压器出线柜 备用,=TA001.EY01.TE01.,++BF01.US06.,===DY1.AH1.,HSC0102
消防柜: 火灾报警控制器（联动型）,=TA001.TB01.,++BF01.US05.,,
